code2,code3,count
AD,AND,1
AE,ARE,144
AR,ARG,108
AT,AUT,18
AU,AUS,22
AW,ABW,3
AZ,AZE,4
BE,BEL,19
BG,BGR,5
BH,BHR,21
BN,BRN,5
BO,BOL,4
BR,BRA,102
BS,BHS,10
CA,CAN,1468
CH,CHE,61
CL,CHL,96
CN,CHN,2734
CO,COL,11
CR,CRI,11
CW,,3
CY,CYP,10
CZ,CZE,28
DE,DEU,160
DK,DNK,21
EG,EGY,31
ES,ESP,101
FI,FIN,8
FR,FRA,132
GB,GBR,901
GR,GRC,28
GT,GTM,7
HU,HUN,16
ID,IDN,268
IE,IRL,73
IN,IND,88
JO,JOR,17
JP,JPN,1237
KH,KHM,4
KR,KOR,993
KW,KWT,106
KZ,KAZ,8
LB,LBN,29
LU,LUX,2
MA,MAR,9
MC,MCO,2
MX,MEX,579
MY,MYS,234
NL,NLD,59
NO,NOR,17
NZ,NZL,24
OM,OMN,12
PA,PAN,5
PE,PER,89
PH,PHL,298
PL,POL,53
PR,PRI,24
PT,PRT,11
QA,QAT,18
RO,ROU,27
RU,RUS,109
SA,SAU,102
SE,SWE,18
SG,SGP,130
SK,SVK,3
SV,SLV,11
TH,THA,289
TR,TUR,326
TT,TTO,3
TW,TWN,394
US,USA,13608
VN,VNM,25
ZA,ZAF,3
